seq	pos	mod	bio	strand	depth	gene	sample_group	seq_tech	lap_type
1	225838	Y	protein_coding	-	197.5	AT1G01620	Col0_ABA	GMUCT	gene
1	1142844	m1G	protein_coding	-	557	AT1G04270	Col0_ABA	GMUCT	gene
1	1828858	m1G	protein_coding	-	157.5	AT1G06040	Col0_ABA	GMUCT	gene
1	3159259	m1G	protein_coding	-	262	AT1G09760	Col0_ABA	GMUCT	gene
1	3159260	Y	protein_coding	-	285	AT1G09760	Col0_ABA	GMUCT	gene
1	3159261	D	protein_coding	-	299.5	AT1G09760	Col0_ABA	GMUCT	gene
1	3755761	m1A|m1I|ms2i6A	protein_coding	-	171.5	AT1G11210	Col0_ABA	GMUCT	gene
1	3999494	m1G	protein_coding	+	180.5	AT1G11850	Col0_ABA	GMUCT	gene
1	4090037	Y	protein_coding	-	2233	AT1G12090	Col0_ABA	GMUCT	gene
1	5401181	D	protein_coding	+	174	AT1G15690	Col0_ABA	GMUCT	gene
1	5765190	m1G	protein_coding	-	151	AT1G16850	Col0_ABA	GMUCT	gene
1	6568537	Y	protein_coding	+	192.5	AT1G19020	Col0_ABA	GMUCT	gene
1	7145758	m3C	protein_coding	+	3402.5	AT1G20620	Col0_ABA	GMUCT	gene
1	7145759	Y	protein_coding	+	3217	AT1G20620	Col0_ABA	GMUCT	gene
1	7145760	i6A|t6A	protein_coding	+	2569.5	AT1G20620	Col0_ABA	GMUCT	gene
1	7875732	D	protein_coding	+	671.5	AT1G22280	Col0_ABA	GMUCT	gene
1	8861289	Y	protein_coding	+	252.5	AT1G25275	Col0_ABA	GMUCT	gene
1	9089714	D	protein_coding	-	144.5	AT1G26270	Col0_ABA	GMUCT	gene
1	9089718	Y	protein_coding	-	343	AT1G26270	Col0_ABA	GMUCT	gene
1	9404166	Y	protein_coding	-	546.5	AT1G27090	Col0_ABA	GMUCT	gene
1	9404168	Y	protein_coding	-	725.5	AT1G27090	Col0_ABA	GMUCT	gene
1	9934008	m1G	protein_coding	-	1020.5	AT1G28330	Col0_ABA	GMUCT	gene
1	19128708	D	protein_coding	-	155.5	AT1G51590	Col0_ABA	GMUCT	gene
1	19475089	Y	protein_coding	-	243	AT1G52300	Col0_ABA	GMUCT	gene
1	23790582	Y	protein_coding	+	70	AT1G64090	Col0_ABA	GMUCT	gene
1	23955125	Y	protein_coding	-	144	AT1G64510	Col0_ABA	GMUCT	gene
1	24648354	m1G	protein_coding	+	459	AT1G66180	Col0_ABA	GMUCT	gene
1	24686778	m1A|m1I|ms2i6A	protein_coding	-	1001	AT1G66240	Col0_ABA	GMUCT	gene
1	25734512	D	protein_coding	-	931.5	AT1G68560	Col0_ABA	GMUCT	gene
1	26564865	m1G	protein_coding	-	292.5	AT1G70490	Col0_ABA	GMUCT	gene
1	26564867	m3C	protein_coding	-	667	AT1G70490	Col0_ABA	GMUCT	gene
1	26564868	m1A|m1I|ms2i6A	protein_coding	-	781	AT1G70490	Col0_ABA	GMUCT	gene
1	27835333	Y	protein_coding	-	63	AT1G74020	Col0_ABA	GMUCT	gene
1	28460674	Y	protein_coding	+	366	AT1G75800	Col0_ABA	GMUCT	gene
1	28460675	m1G	protein_coding	+	309.5	AT1G75800	Col0_ABA	GMUCT	gene
1	28460677	Y	protein_coding	+	291.5	AT1G75800	Col0_ABA	GMUCT	gene
2	528840	D	protein_coding	+	745.5	AT2G02100	Col0_ABA	GMUCT	gene
2	1104445	D	protein_coding	-	90	AT2G03640	Col0_ABA	GMUCT	gene
2	1967588	D	protein_coding	+	22770	AT2G05380	Col0_ABA	GMUCT	gene
2	1967589	m1G	protein_coding	+	19936	AT2G05380	Col0_ABA	GMUCT	gene
2	1967590	m1G	protein_coding	+	19184	AT2G05380	Col0_ABA	GMUCT	gene
2	1967591	D	protein_coding	+	17240.5	AT2G05380	Col0_ABA	GMUCT	gene
2	5539678	D	protein_coding	-	563.5	AT2G13360	Col0_ABA	GMUCT	gene
2	7837892	Y	protein_coding	+	712.5	AT2G18020	Col0_ABA	GMUCT	gene
2	7837893	m1G	protein_coding	+	622	AT2G18020	Col0_ABA	GMUCT	gene
2	7837895	i6A|t6A	protein_coding	+	576.5	AT2G18020	Col0_ABA	GMUCT	gene
2	7898404	D	protein_coding	-	399.5	AT2G18160	Col0_ABA	GMUCT	gene
2	8911990	Y	protein_coding	-	378	AT2G20670	Col0_ABA	GMUCT	gene
2	9037558	D	protein_coding	-	734.5	AT2G21060	Col0_ABA	GMUCT	gene
2	9637474	D	protein_coding	+	73.5	AT2G22670	Col0_ABA	GMUCT	gene
2	10559868	m1G	protein_coding	+	524	AT2G24762	Col0_ABA	GMUCT	gene
2	10559870	m1G	protein_coding	+	450	AT2G24762	Col0_ABA	GMUCT	gene
2	11079478	Y	protein_coding	-	97	AT2G25980	Col0_ABA	GMUCT	gene
2	13418584	Y	protein_coding	-	456	AT2G31510	Col0_ABA	GMUCT	gene
2	13418585	Y	protein_coding	-	476	AT2G31510	Col0_ABA	GMUCT	gene
2	13499547	m1G	protein_coding	+	307.5	AT2G31750	Col0_ABA	GMUCT	gene
2	13499549	m1G	protein_coding	+	302.5	AT2G31750	Col0_ABA	GMUCT	gene
2	13864005	Y	protein_coding	-	707.5	AT2G32690	Col0_ABA	GMUCT	gene
2	13864008	m3C	protein_coding	-	1086	AT2G32690	Col0_ABA	GMUCT	gene
2	13864032	m1G	protein_coding	-	1513	AT2G32690	Col0_ABA	GMUCT	gene
2	13864034	m1G	protein_coding	-	1655.5	AT2G32690	Col0_ABA	GMUCT	gene
2	13864035	i6A|t6A	protein_coding	-	1662	AT2G32690	Col0_ABA	GMUCT	gene
2	13864071	i6A|t6A	protein_coding	-	2266.5	AT2G32690	Col0_ABA	GMUCT	gene
2	13864072	m1G	protein_coding	-	2469	AT2G32690	Col0_ABA	GMUCT	gene
2	13864073	m1G	protein_coding	-	2865	AT2G32690	Col0_ABA	GMUCT	gene
2	13864074	m3C	protein_coding	-	3119.5	AT2G32690	Col0_ABA	GMUCT	gene
2	14532889	m1G	protein_coding	-	2924	AT2G34480	Col0_ABA	GMUCT	gene
2	14532890	m1G	protein_coding	-	3045.5	AT2G34480	Col0_ABA	GMUCT	gene
2	14532891	Y	protein_coding	-	3039	AT2G34480	Col0_ABA	GMUCT	gene
2	14532892	Y	protein_coding	-	3040.5	AT2G34480	Col0_ABA	GMUCT	gene
2	15170505	m3C	protein_coding	+	810	AT2G36160	Col0_ABA	GMUCT	gene
2	15170506	m1A|m1I|ms2i6A	protein_coding	+	800	AT2G36160	Col0_ABA	GMUCT	gene
2	15170507	m3C	protein_coding	+	745	AT2G36160	Col0_ABA	GMUCT	gene
2	15635367	m1A|m1I|ms2i6A	protein_coding	-	347	AT2G37220	Col0_ABA	GMUCT	gene
2	16645251	D	protein_coding	+	135	AT2G39870	Col0_ABA	GMUCT	gene
2	18425891	m1G	protein_coding	+	1749	AT2G44670	Col0_ABA	GMUCT	gene
2	18799861	Y	protein_coding	-	140.5	AT2G45640	Col0_ABA	GMUCT	gene
2	19458604	Y	protein_coding	+	148	AT2G47420	Col0_ABA	GMUCT	gene
2	19611819	D	protein_coding	-	156.5	AT2G47900	Col0_ABA	GMUCT	gene
2	19611820	m3C	protein_coding	-	158.5	AT2G47900	Col0_ABA	GMUCT	gene
2	19611821	D	protein_coding	-	376.5	AT2G47900	Col0_ABA	GMUCT	gene
3	511136	m1A|m1I|ms2i6A	protein_coding	+	1928	AT3G02470	Col0_ABA	GMUCT	gene
3	511137	m1G	protein_coding	+	1887.5	AT3G02470	Col0_ABA	GMUCT	gene
3	512863	m1A|m1I|ms2i6A	protein_coding	+	697.5	AT3G02480	Col0_ABA	GMUCT	gene
3	868015	D	protein_coding	-	102.5	AT3G03600	Col0_ABA	GMUCT	gene
3	2117746	m1G	protein_coding	-	996	AT3G06700	Col0_ABA	GMUCT	gene
3	2889525	Y	protein_coding	-	5006.5	AT3G09390	Col0_ABA	GMUCT	gene
3	2889526	Y	protein_coding	-	5019.5	AT3G09390	Col0_ABA	GMUCT	gene
3	3091165	D	protein_coding	-	1011	AT3G10020	Col0_ABA	GMUCT	gene
3	4384926	m1A|m1I|ms2i6A	protein_coding	-	461	AT3G13460	Col0_ABA	GMUCT	gene
3	4384927	m3C	protein_coding	-	517.5	AT3G13460	Col0_ABA	GMUCT	gene
3	5144246	D	protein_coding	-	403.5	AT3G15280	Col0_ABA	GMUCT	gene
3	5180918	Y	protein_coding	-	678	AT3G15353	Col0_ABA	GMUCT	gene
3	5180920	m1G	protein_coding	-	1004	AT3G15353	Col0_ABA	GMUCT	gene
3	5580201	m3C	protein_coding	+	1087	AT3G16420	Col0_ABA	GMUCT	gene
3	5580204	i6A|t6A	protein_coding	+	930	AT3G16420	Col0_ABA	GMUCT	gene
3	7140755	m1G	protein_coding	-	242	AT3G20470	Col0_ABA	GMUCT	gene
3	7140756	Y	protein_coding	-	243.5	AT3G20470	Col0_ABA	GMUCT	gene
3	7652839	Y	protein_coding	-	6123.5	AT3G21720	Col0_ABA	GMUCT	gene
3	7652840	m3C	protein_coding	-	8050.5	AT3G21720	Col0_ABA	GMUCT	gene
3	7652841	m1G	protein_coding	-	13360.5	AT3G21720	Col0_ABA	GMUCT	gene
3	7652842	m1A|m1I|ms2i6A	protein_coding	-	15564	AT3G21720	Col0_ABA	GMUCT	gene
3	7652843	m1G	protein_coding	-	18418	AT3G21720	Col0_ABA	GMUCT	gene
3	8411660	Y	protein_coding	+	1857	AT3G23450	Col0_ABA	GMUCT	gene
3	8411669	m3C	protein_coding	+	1136	AT3G23450	Col0_ABA	GMUCT	gene
3	9306346	Y	protein_coding	+	84.5	AT3G25597	Col0_ABA	GMUCT	gene
3	9723398	Y	protein_coding	-	165.5	AT3G26520	Col0_ABA	GMUCT	gene
3	10319228	Y	protein_coding	+	1161.5	AT3G27830	Col0_ABA	GMUCT	gene
3	16528649	m1G	protein_coding	+	444.5	AT3G45140	Col0_ABA	GMUCT	gene
3	17493909	Y	protein_coding	-	1675.5	AT3G47470	Col0_ABA	GMUCT	gene
3	17493912	m3C	protein_coding	-	2118.5	AT3G47470	Col0_ABA	GMUCT	gene
3	18504848	Y	protein_coding	+	1963.5	AT3G49910	Col0_ABA	GMUCT	gene
3	19225896	D	protein_coding	-	509	AT3G51840	Col0_ABA	GMUCT	gene
3	20778350	m1A|m1I|ms2i6A	protein_coding	+	226.5	AT3G55980	Col0_ABA	GMUCT	gene
3	22605440	Y	protein_coding	-	61	AT3G61070	Col0_ABA	GMUCT	gene
3	22975297	D	protein_coding	+	755.5	AT3G62030	Col0_ABA	GMUCT	gene
3	22975300	i6A|t6A	protein_coding	+	693.5	AT3G62030	Col0_ABA	GMUCT	gene
3	23052785	m1A|m1I|ms2i6A	protein_coding	+	2909.5	AT3G62290	Col0_ABA	GMUCT	gene
3	23052786	m3C	protein_coding	+	2869.5	AT3G62290	Col0_ABA	GMUCT	gene
3	23091106	Y	protein_coding	+	228.5	AT3G62410	Col0_ABA	GMUCT	gene
4	14277	i6A|t6A	protein_coding	+	144.5	AT4G00030	Col0_ABA	GMUCT	gene
4	695304	Y	protein_coding	+	854.5	AT4G01610	Col0_ABA	GMUCT	gene
4	696705	D	protein_coding	+	2245.5	AT4G01610	Col0_ABA	GMUCT	gene
4	808616	m1G	protein_coding	-	228	AT4G01870	Col0_ABA	GMUCT	gene
4	1074385	D	protein_coding	-	256	AT4G02450	Col0_ABA	GMUCT	gene
4	6888845	D	protein_coding	+	1441.5	AT4G11320	Col0_ABA	GMUCT	gene
4	7806044	m1G	protein_coding	-	131.5	AT4G13430	Col0_ABA	GMUCT	gene
4	8917551	Y	protein_coding	+	239.5	AT4G15630	Col0_ABA	GMUCT	gene
4	9192404	Y	protein_coding	-	198.5	AT4G16240	Col0_ABA	GMUCT	gene
4	9301429	Y	protein_coding	-	192.5	AT4G16500	Col0_ABA	GMUCT	gene
4	9714329	D	protein_coding	-	2257	AT4G17390	Col0_ABA	GMUCT	gene
4	9714330	D	protein_coding	-	2264.5	AT4G17390	Col0_ABA	GMUCT	gene
4	12337232	m1G	protein_coding	-	1531	AT4G23680	Col0_ABA	GMUCT	gene
4	12337233	D	protein_coding	-	1655	AT4G23680	Col0_ABA	GMUCT	gene
4	13727761	m1G	protein_coding	-	154.5	AT4G27450	Col0_ABA	GMUCT	gene
4	14305361	m1G	protein_coding	+	1054.5	AT4G29020	Col0_ABA	GMUCT	gene
4	14305455	Y	protein_coding	+	156.5	AT4G29020	Col0_ABA	GMUCT	gene
4	16169690	i6A|t6A	protein_coding	-	235.5	AT4G33670	Col0_ABA	GMUCT	gene
4	16234100	i6A|t6A	protein_coding	-	830	AT4G33865	Col0_ABA	GMUCT	gene
4	16348398	m1G	protein_coding	-	764.5	AT4G34138	Col0_ABA	GMUCT	gene
4	16348399	i6A|t6A	protein_coding	-	1107	AT4G34138	Col0_ABA	GMUCT	gene
4	16348398	m1G	protein_coding	-	764.5	AT4G34139	Col0_ABA	GMUCT	gene
4	16348399	i6A|t6A	protein_coding	-	1107	AT4G34139	Col0_ABA	GMUCT	gene
4	16558216	Y	protein_coding	+	352.5	AT4G34700	Col0_ABA	GMUCT	gene
4	16614749	m1A|m1I|ms2i6A	protein_coding	+	1354.5	AT4G34870	Col0_ABA	GMUCT	gene
4	16614750	m1G	protein_coding	+	1286.5	AT4G34870	Col0_ABA	GMUCT	gene
4	16614751	m1G	protein_coding	+	1198	AT4G34870	Col0_ABA	GMUCT	gene
4	16614752	i6A|t6A	protein_coding	+	1074.5	AT4G34870	Col0_ABA	GMUCT	gene
4	17831849	Y	protein_coding	-	1793.5	AT4G37930	Col0_ABA	GMUCT	gene
4	18557504	D	protein_coding	-	4853	AT4G40040	Col0_ABA	GMUCT	gene
5	427131	D	protein_coding	+	514.5	AT5G02160	Col0_ABA	GMUCT	gene
5	507152	D	protein_coding	-	440.5	AT5G02380	Col0_ABA	GMUCT	gene
5	1032502	m1G	protein_coding	-	4783	AT5G03860	Col0_ABA	GMUCT	gene
5	1032503	m3C	protein_coding	-	4944.5	AT5G03860	Col0_ABA	GMUCT	gene
5	2094754	D	protein_coding	-	89	AT5G06780	Col0_ABA	GMUCT	gene
5	3916360	D	protein_coding	-	822	AT5G12110	Col0_ABA	GMUCT	gene
5	3916360	D	protein_coding	-	822	AT5G12120	Col0_ABA	GMUCT	gene
5	6695417	D	protein_coding	-	208	AT5G19820	Col0_ABA	GMUCT	gene
5	8279068	Y	protein_coding	+	106.5	AT5G24314	Col0_ABA	GMUCT	gene
5	16781171	Y	protein_coding	+	146	AT5G41920	Col0_ABA	GMUCT	gene
5	17170621	m1G	protein_coding	-	388	AT5G42820	Col0_ABA	GMUCT	gene
5	17170624	m3C	protein_coding	-	505.5	AT5G42820	Col0_ABA	GMUCT	gene
5	17789628	D	protein_coding	+	122.5	AT5G44180	Col0_ABA	GMUCT	gene
5	21239110	D	protein_coding	+	626	AT5G52300	Col0_ABA	GMUCT	gene
5	26149946	Y	protein_coding	-	92	AT5G65430	Col0_ABA	GMUCT	gene
5	26412287	D	protein_coding	-	219.5	AT5G66050	Col0_ABA	GMUCT	gene
5	26813789	D	protein_coding	-	98	AT5G67200	Col0_ABA	GMUCT	gene
Pt	25829	m1G	protein_coding	-	117.5	ATCG00190	Col0_ABA	GMUCT	gene
1	9076365	D	snoRNA	-	2038.5	AT1G05993	Col0_ABA	GMUCT	ncRNA
2	13499547	m1G	lncRNA	+	307.5	AT2G31751	Col0_ABA	GMUCT	ncRNA
2	13499549	m1G	lncRNA	+	302.5	AT2G31751	Col0_ABA	GMUCT	ncRNA
2	15029581	Y	snoRNA	-	896	AT2G08765	Col0_ABA	GMUCT	ncRNA
4	18152144	m1G	lncRNA	-	266.5	AT4G38932	Col0_ABA	GMUCT	ncRNA
4	18152146	Y	lncRNA	-	294	AT4G38932	Col0_ABA	GMUCT	ncRNA
5	17170621	m1G	lncRNA	-	388	AT5G06395	Col0_ABA	GMUCT	ncRNA
5	17170624	m3C	lncRNA	-	505.5	AT5G06395	Col0_ABA	GMUCT	ncRNA
Mt	362602	m1A|m1I|ms2i6A	rRNA	-	647	ATMG01390	Col0_ABA	GMUCT	ncRNA
Mt	363117	D	rRNA	-	1320	ATMG01390	Col0_ABA	GMUCT	ncRNA
1	50508	Y	mRNA	-	446.5	AT1G01100	Col0_ABA	GMUCT	primarymRNA
1	225838	Y	mRNA	-	197.5	AT1G01620	Col0_ABA	GMUCT	primarymRNA
1	1142844	m1G	mRNA	-	557	AT1G04270	Col0_ABA	GMUCT	primarymRNA
1	1828858	m1G	mRNA	-	157.5	AT1G06040	Col0_ABA	GMUCT	primarymRNA
1	3159259	m1G	mRNA	-	262	AT1G09760	Col0_ABA	GMUCT	primarymRNA
1	3159260	Y	mRNA	-	285	AT1G09760	Col0_ABA	GMUCT	primarymRNA
1	3159261	D	mRNA	-	299.5	AT1G09760	Col0_ABA	GMUCT	primarymRNA
1	3755761	m1A|m1I|ms2i6A	mRNA	-	171.5	AT1G11210	Col0_ABA	GMUCT	primarymRNA
1	3999494	m1G	mRNA	+	180.5	AT1G11850	Col0_ABA	GMUCT	primarymRNA
1	4090037	Y	mRNA	-	2233	AT1G12090	Col0_ABA	GMUCT	primarymRNA
1	5401181	D	mRNA	+	174	AT1G15690	Col0_ABA	GMUCT	primarymRNA
1	5765190	m1G	mRNA	-	151	AT1G16850	Col0_ABA	GMUCT	primarymRNA
1	6568537	Y	mRNA	+	192.5	AT1G19020	Col0_ABA	GMUCT	primarymRNA
1	7145758	m3C	mRNA	+	3402.5	AT1G20620	Col0_ABA	GMUCT	primarymRNA
1	7145759	Y	mRNA	+	3217	AT1G20620	Col0_ABA	GMUCT	primarymRNA
1	7145760	i6A|t6A	mRNA	+	2569.5	AT1G20620	Col0_ABA	GMUCT	primarymRNA
1	7875732	D	mRNA	+	671.5	AT1G22280	Col0_ABA	GMUCT	primarymRNA
1	8861289	Y	mRNA	+	252.5	AT1G25275	Col0_ABA	GMUCT	primarymRNA
1	9089714	D	mRNA	-	144.5	AT1G26270	Col0_ABA	GMUCT	primarymRNA
1	9089718	Y	mRNA	-	343	AT1G26270	Col0_ABA	GMUCT	primarymRNA
1	9404166	Y	mRNA	-	546.5	AT1G27090	Col0_ABA	GMUCT	primarymRNA
1	9404168	Y	mRNA	-	725.5	AT1G27090	Col0_ABA	GMUCT	primarymRNA
1	9934008	m1G	mRNA	-	1020.5	AT1G28330	Col0_ABA	GMUCT	primarymRNA
1	19128708	D	mRNA	-	155.5	AT1G51590	Col0_ABA	GMUCT	primarymRNA
1	19475089	Y	mRNA	-	243	AT1G52300	Col0_ABA	GMUCT	primarymRNA
1	23790582	Y	mRNA	+	70	AT1G64090	Col0_ABA	GMUCT	primarymRNA
1	23955125	Y	mRNA	-	144	AT1G64510	Col0_ABA	GMUCT	primarymRNA
1	24648354	m1G	mRNA	+	459	AT1G66180	Col0_ABA	GMUCT	primarymRNA
1	24686778	m1A|m1I|ms2i6A	mRNA	-	1001	AT1G66240	Col0_ABA	GMUCT	primarymRNA
1	25734512	D	mRNA	-	931.5	AT1G68560	Col0_ABA	GMUCT	primarymRNA
1	26564865	m1G	mRNA	-	292.5	AT1G70490	Col0_ABA	GMUCT	primarymRNA
1	26564867	m3C	mRNA	-	667	AT1G70490	Col0_ABA	GMUCT	primarymRNA
1	26564868	m1A|m1I|ms2i6A	mRNA	-	781	AT1G70490	Col0_ABA	GMUCT	primarymRNA
1	27835333	Y	mRNA	-	63	AT1G74020	Col0_ABA	GMUCT	primarymRNA
1	28460674	Y	mRNA	+	366	AT1G75800	Col0_ABA	GMUCT	primarymRNA
1	28460675	m1G	mRNA	+	309.5	AT1G75800	Col0_ABA	GMUCT	primarymRNA
1	28460677	Y	mRNA	+	291.5	AT1G75800	Col0_ABA	GMUCT	primarymRNA
2	528840	D	mRNA	+	745.5	AT2G02100	Col0_ABA	GMUCT	primarymRNA
2	1104445	D	mRNA	-	90	AT2G03640	Col0_ABA	GMUCT	primarymRNA
2	1967588	D	mRNA	+	22770	AT2G05380	Col0_ABA	GMUCT	primarymRNA
2	1967589	m1G	mRNA	+	19936	AT2G05380	Col0_ABA	GMUCT	primarymRNA
2	1967590	m1G	mRNA	+	19184	AT2G05380	Col0_ABA	GMUCT	primarymRNA
2	1967591	D	mRNA	+	17240.5	AT2G05380	Col0_ABA	GMUCT	primarymRNA
2	5539678	D	mRNA	-	563.5	AT2G13360	Col0_ABA	GMUCT	primarymRNA
2	7837892	Y	mRNA	+	712.5	AT2G18020	Col0_ABA	GMUCT	primarymRNA
2	7837893	m1G	mRNA	+	622	AT2G18020	Col0_ABA	GMUCT	primarymRNA
2	7837895	i6A|t6A	mRNA	+	576.5	AT2G18020	Col0_ABA	GMUCT	primarymRNA
2	7898404	D	mRNA	-	399.5	AT2G18160	Col0_ABA	GMUCT	primarymRNA
2	8911990	Y	mRNA	-	378	AT2G20670	Col0_ABA	GMUCT	primarymRNA
2	9037558	D	mRNA	-	734.5	AT2G21060	Col0_ABA	GMUCT	primarymRNA
2	9637474	D	mRNA	+	73.5	AT2G22670	Col0_ABA	GMUCT	primarymRNA
2	10559868	m1G	mRNA	+	524	AT2G24762	Col0_ABA	GMUCT	primarymRNA
2	10559870	m1G	mRNA	+	450	AT2G24762	Col0_ABA	GMUCT	primarymRNA
2	11079478	Y	mRNA	-	97	AT2G25980	Col0_ABA	GMUCT	primarymRNA
2	13418584	Y	mRNA	-	456	AT2G31510	Col0_ABA	GMUCT	primarymRNA
2	13418585	Y	mRNA	-	476	AT2G31510	Col0_ABA	GMUCT	primarymRNA
2	13499547	m1G	mRNA	+	307.5	AT2G31750	Col0_ABA	GMUCT	primarymRNA
2	13499549	m1G	mRNA	+	302.5	AT2G31750	Col0_ABA	GMUCT	primarymRNA
2	13864005	Y	mRNA	-	707.5	AT2G32690	Col0_ABA	GMUCT	primarymRNA
2	13864008	m3C	mRNA	-	1086	AT2G32690	Col0_ABA	GMUCT	primarymRNA
2	13864032	m1G	mRNA	-	1513	AT2G32690	Col0_ABA	GMUCT	primarymRNA
2	13864034	m1G	mRNA	-	1655.5	AT2G32690	Col0_ABA	GMUCT	primarymRNA
2	13864035	i6A|t6A	mRNA	-	1662	AT2G32690	Col0_ABA	GMUCT	primarymRNA
2	13864071	i6A|t6A	mRNA	-	2266.5	AT2G32690	Col0_ABA	GMUCT	primarymRNA
2	13864072	m1G	mRNA	-	2469	AT2G32690	Col0_ABA	GMUCT	primarymRNA
2	13864073	m1G	mRNA	-	2865	AT2G32690	Col0_ABA	GMUCT	primarymRNA
2	13864074	m3C	mRNA	-	3119.5	AT2G32690	Col0_ABA	GMUCT	primarymRNA
2	14532889	m1G	mRNA	-	2924	AT2G34480	Col0_ABA	GMUCT	primarymRNA
2	14532890	m1G	mRNA	-	3045.5	AT2G34480	Col0_ABA	GMUCT	primarymRNA
2	14532891	Y	mRNA	-	3039	AT2G34480	Col0_ABA	GMUCT	primarymRNA
2	14532892	Y	mRNA	-	3040.5	AT2G34480	Col0_ABA	GMUCT	primarymRNA
2	15170505	m3C	mRNA	+	810	AT2G36160	Col0_ABA	GMUCT	primarymRNA
2	15170506	m1A|m1I|ms2i6A	mRNA	+	800	AT2G36160	Col0_ABA	GMUCT	primarymRNA
2	15170507	m3C	mRNA	+	745	AT2G36160	Col0_ABA	GMUCT	primarymRNA
2	15635367	m1A|m1I|ms2i6A	mRNA	-	347	AT2G37220	Col0_ABA	GMUCT	primarymRNA
2	16645251	D	mRNA	+	135	AT2G39870	Col0_ABA	GMUCT	primarymRNA
2	18425891	m1G	mRNA	+	1749	AT2G44670	Col0_ABA	GMUCT	primarymRNA
2	18799861	Y	mRNA	-	140.5	AT2G45640	Col0_ABA	GMUCT	primarymRNA
2	19458604	Y	mRNA	+	148	AT2G47420	Col0_ABA	GMUCT	primarymRNA
2	19611819	D	mRNA	-	156.5	AT2G47900	Col0_ABA	GMUCT	primarymRNA
2	19611820	m3C	mRNA	-	158.5	AT2G47900	Col0_ABA	GMUCT	primarymRNA
2	19611821	D	mRNA	-	376.5	AT2G47900	Col0_ABA	GMUCT	primarymRNA
3	511136	m1A|m1I|ms2i6A	mRNA	+	1928	AT3G02470	Col0_ABA	GMUCT	primarymRNA
3	511137	m1G	mRNA	+	1887.5	AT3G02470	Col0_ABA	GMUCT	primarymRNA
3	512863	m1A|m1I|ms2i6A	mRNA	+	697.5	AT3G02480	Col0_ABA	GMUCT	primarymRNA
3	868015	D	mRNA	-	102.5	AT3G03600	Col0_ABA	GMUCT	primarymRNA
3	2117746	m1G	mRNA	-	996	AT3G06700	Col0_ABA	GMUCT	primarymRNA
3	2889525	Y	mRNA	-	5006.5	AT3G09390	Col0_ABA	GMUCT	primarymRNA
3	2889526	Y	mRNA	-	5019.5	AT3G09390	Col0_ABA	GMUCT	primarymRNA
3	3091165	D	mRNA	-	1011	AT3G10020	Col0_ABA	GMUCT	primarymRNA
3	4384926	m1A|m1I|ms2i6A	mRNA	-	461	AT3G13460	Col0_ABA	GMUCT	primarymRNA
3	4384927	m3C	mRNA	-	517.5	AT3G13460	Col0_ABA	GMUCT	primarymRNA
3	5144246	D	mRNA	-	403.5	AT3G15280	Col0_ABA	GMUCT	primarymRNA
3	5180918	Y	mRNA	-	678	AT3G15353	Col0_ABA	GMUCT	primarymRNA
3	5180920	m1G	mRNA	-	1004	AT3G15353	Col0_ABA	GMUCT	primarymRNA
3	5580201	m3C	mRNA	+	1087	AT3G16420	Col0_ABA	GMUCT	primarymRNA
3	5580204	i6A|t6A	mRNA	+	930	AT3G16420	Col0_ABA	GMUCT	primarymRNA
3	7140755	m1G	mRNA	-	242	AT3G20470	Col0_ABA	GMUCT	primarymRNA
3	7140756	Y	mRNA	-	243.5	AT3G20470	Col0_ABA	GMUCT	primarymRNA
3	7652839	Y	mRNA	-	6123.5	AT3G21720	Col0_ABA	GMUCT	primarymRNA
3	7652840	m3C	mRNA	-	8050.5	AT3G21720	Col0_ABA	GMUCT	primarymRNA
3	7652841	m1G	mRNA	-	13360.5	AT3G21720	Col0_ABA	GMUCT	primarymRNA
3	7652842	m1A|m1I|ms2i6A	mRNA	-	15564	AT3G21720	Col0_ABA	GMUCT	primarymRNA
3	7652843	m1G	mRNA	-	18418	AT3G21720	Col0_ABA	GMUCT	primarymRNA
3	8411660	Y	mRNA	+	1857	AT3G23450	Col0_ABA	GMUCT	primarymRNA
3	8411669	m3C	mRNA	+	1136	AT3G23450	Col0_ABA	GMUCT	primarymRNA
3	9306346	Y	mRNA	+	84.5	AT3G25597	Col0_ABA	GMUCT	primarymRNA
3	9723398	Y	mRNA	-	165.5	AT3G26520	Col0_ABA	GMUCT	primarymRNA
3	10319228	Y	mRNA	+	1161.5	AT3G27830	Col0_ABA	GMUCT	primarymRNA
3	16528649	m1G	mRNA	+	444.5	AT3G45140	Col0_ABA	GMUCT	primarymRNA
3	17493909	Y	mRNA	-	1675.5	AT3G47470	Col0_ABA	GMUCT	primarymRNA
3	17493912	m3C	mRNA	-	2118.5	AT3G47470	Col0_ABA	GMUCT	primarymRNA
3	18504848	Y	mRNA	+	1963.5	AT3G49910	Col0_ABA	GMUCT	primarymRNA
3	19225896	D	mRNA	-	509	AT3G51840	Col0_ABA	GMUCT	primarymRNA
3	20778350	m1A|m1I|ms2i6A	mRNA	+	226.5	AT3G55980	Col0_ABA	GMUCT	primarymRNA
3	22605440	Y	mRNA	-	61	AT3G61070	Col0_ABA	GMUCT	primarymRNA
3	22975297	D	mRNA	+	755.5	AT3G62030	Col0_ABA	GMUCT	primarymRNA
3	22975300	i6A|t6A	mRNA	+	693.5	AT3G62030	Col0_ABA	GMUCT	primarymRNA
